gm,Id,SS,tox,Vtgm
2.01E-04,2.61E-04,89.628,0.0101,1.198
2.04E-04,2.65E-04,89.798,0.0101,1.197
1.62E-04,1.91E-04,97.188,0.013,1.319
1.64E-04,1.93E-04,97.401,0.013,1.317
2.04E-04,3.10E-04,84.886,0.0101,0.972
2.06E-04,3.14E-04,85.364,0.0101,0.974
1.64E-04,2.39E-04,91.735,0.013,1.042
1.66E-04,2.42E-04,92.345,0.013,1.043
2.02E-04,2.62E-04,89.597,0.0101,1.2
2.04E-04,2.66E-04,89.756,0.0101,1.199
1.62E-04,1.91E-04,97.155,0.013,1.321
1.64E-04,1.94E-04,97.373,0.013,1.318
2.04E-04,3.11E-04,84.89,0.0101,0.974
2.07E-04,3.15E-04,85.371,0.0101,0.975
1.65E-04,2.40E-04,91.744,0.013,1.043
1.67E-04,2.43E-04,92.356,0.013,1.044
2.02E-04,2.63E-04,89.566,0.0101,1.202
2.05E-04,2.67E-04,89.743,0.0101,1.201
1.63E-04,1.92E-04,97.122,0.013,1.322
1.65E-04,1.94E-04,97.342,0.013,1.319
2.05E-04,3.12E-04,84.896,0.0101,0.975
2.08E-04,3.16E-04,85.379,0.0101,0.976
1.65E-04,2.41E-04,91.755,0.013,1.044
1.67E-04,2.43E-04,92.373,0.013,1.046
2.03E-04,2.63E-04,89.537,0.0101,1.203
2.06E-04,2.67E-04,89.716,0.0101,1.202
1.63E-04,1.92E-04,97.091,0.013,1.323
1.65E-04,1.95E-04,97.316,0.013,1.32
2.06E-04,3.13E-04,84.901,0.0101,0.976
2.09E-04,3.17E-04,85.388,0.0101,0.978
1.66E-04,2.41E-04,91.766,0.013,1.045
1.68E-04,2.44E-04,92.387,0.013,1.047
2.04E-04,2.64E-04,89.507,0.0101,1.205
2.07E-04,2.68E-04,89.69,0.0101,1.204
1.64E-04,1.93E-04,97.06,0.013,1.324
1.66E-04,1.95E-04,97.287,0.013,1.321
2.07E-04,3.14E-04,84.907,0.0101,0.977
2.09E-04,3.18E-04,85.396,0.0101,0.979
1.66E-04,2.42E-04,91.777,0.013,1.046
1.68E-04,2.45E-04,92.402,0.013,1.048
2.05E-04,2.65E-04,89.478,0.0101,1.206
2.07E-04,2.69E-04,89.664,0.0101,1.205
1.64E-04,1.93E-04,97.03,0.013,1.325
1.66E-04,1.96E-04,97.261,0.013,1.322
2.07E-04,3.15E-04,84.914,0.0101,0.978
2.10E-04,3.19E-04,85.405,0.0101,0.98
1.67E-04,2.43E-04,91.789,0.013,1.047
1.69E-04,2.45E-04,92.417,0.013,1.048
2.05E-04,2.65E-04,89.449,0.0101,1.208
2.08E-04,2.69E-04,89.638,0.0101,1.207
1.65E-04,1.94E-04,97.015,0.013,1.326
1.67E-04,1.96E-04,97.237,0.013,1.322
2.08E-04,3.16E-04,84.92,0.0101,0.98
2.11E-04,3.20E-04,85.415,0.0101,0.981
1.68E-04,2.43E-04,91.801,0.013,1.048
1.70E-04,2.46E-04,92.433,0.013,1.049
2.06E-04,2.66E-04,89.431,0.0101,1.21
2.09E-04,2.70E-04,89.613,0.0101,1.208
1.65E-04,1.94E-04,96.986,0.013,1.326
1.67E-04,1.97E-04,97.21,0.013,1.323
2.09E-04,3.17E-04,84.927,0.0101,0.981
2.11E-04,3.21E-04,85.424,0.0101,0.982
1.68E-04,2.44E-04,91.813,0.013,1.049
1.70E-04,2.46E-04,92.449,0.013,1.05
2.07E-04,2.67E-04,89.392,0.0101,1.211
2.10E-04,2.70E-04,89.589,0.0101,1.21
1.66E-04,1.94E-04,96.944,0.013,1.327
1.68E-04,1.97E-04,97.188,0.013,1.323
2.09E-04,3.18E-04,84.934,0.0101,0.982
2.12E-04,3.21E-04,85.434,0.0101,0.983
1.69E-04,2.44E-04,91.826,0.013,1.05
1.71E-04,2.47E-04,92.466,0.013,1.051
2.08E-04,2.67E-04,89.367,0.0101,1.212
2.10E-04,2.71E-04,89.563,0.0101,1.211
1.66E-04,1.95E-04,96.917,0.013,1.328
1.68E-04,1.98E-04,97.164,0.013,1.324
2.10E-04,3.19E-04,84.942,0.0101,0.983
2.13E-04,3.22E-04,85.445,0.0101,0.984
1.69E-04,2.45E-04,91.84,0.013,1.051
1.71E-04,2.48E-04,92.483,0.013,1.052
2.08E-04,2.68E-04,89.338,0.0101,1.214
2.11E-04,2.72E-04,89.539,0.0101,1.213
1.67E-04,1.95E-04,96.893,0.013,1.328
1.68E-04,1.98E-04,97.141,0.013,1.324
2.11E-04,3.19E-04,84.949,0.0101,0.984
2.13E-04,3.23E-04,85.455,0.0101,0.985
1.70E-04,2.46E-04,91.854,0.013,1.052
1.72E-04,2.48E-04,92.501,0.013,1.053
2.09E-04,2.68E-04,89.311,0.0101,1.215
2.11E-04,2.72E-04,89.519,0.0101,1.213
1.67E-04,1.96E-04,96.882,0.013,1.328
1.69E-04,1.98E-04,97.129,0.013,1.325
2.11E-04,3.20E-04,84.958,0.0101,0.984
2.14E-04,3.24E-04,85.466,0.0101,0.986
1.70E-04,2.46E-04,91.868,0.013,1.053
1.72E-04,2.49E-04,92.519,0.013,1.053
2.10E-04,2.69E-04,89.283,0.0101,1.217
2.12E-04,2.73E-04,89.493,0.0101,1.215
1.67E-04,1.96E-04,96.839,0.013,1.329
1.69E-04,1.99E-04,97.093,0.013,1.325
2.12E-04,3.21E-04,84.966,0.0101,0.985
2.14E-04,3.24E-04,85.478,0.0101,0.987
1.71E-04,2.47E-04,91.882,0.013,1.054
1.72E-04,2.49E-04,92.537,0.013,1.054
2.10E-04,2.69E-04,89.258,0.0101,1.218
2.13E-04,2.73E-04,89.471,0.0101,1.216
1.68E-04,1.96E-04,96.813,0.013,1.329
1.70E-04,1.99E-04,97.072,0.013,1.325
2.12E-04,3.21E-04,84.975,0.0101,0.986
2.15E-04,3.25E-04,85.49,0.0101,0.988
1.71E-04,2.47E-04,91.898,0.013,1.054
1.73E-04,2.50E-04,92.556,0.013,1.055
2.11E-04,2.70E-04,89.211,0.0101,1.219
2.13E-04,2.74E-04,89.433,0.0101,1.217
1.68E-04,1.97E-04,96.789,0.013,1.329
1.70E-04,2.00E-04,97.05,0.013,1.325
2.13E-04,3.22E-04,84.984,0.0101,0.987
2.16E-04,3.26E-04,85.502,0.0101,0.988
1.72E-04,2.48E-04,91.913,0.013,1.055
1.73E-04,2.50E-04,92.576,0.013,1.055
2.11E-04,2.70E-04,89.209,0.0101,1.22
2.14E-04,2.74E-04,89.429,0.0101,1.218
1.68E-04,1.97E-04,96.764,0.013,1.33
1.70E-04,2.00E-04,97.029,0.013,1.326
2.14E-04,3.23E-04,84.993,0.0101,0.988
2.16E-04,3.26E-04,85.514,0.0101,0.989
1.72E-04,2.48E-04,91.929,0.013,1.055
1.74E-04,2.51E-04,92.596,0.013,1.055
2.12E-04,2.71E-04,89.186,0.0101,1.221
2.14E-04,2.75E-04,89.409,0.0101,1.219
1.69E-04,1.98E-04,96.741,0.013,1.33
1.71E-04,2.00E-04,97.009,0.013,1.326
2.14E-04,3.24E-04,85.004,0.0101,0.989
2.17E-04,3.27E-04,85.526,0.0101,0.99
1.72E-04,2.49E-04,91.946,0.013,1.056
1.74E-04,2.52E-04,92.616,0.013,1.056
2.12E-04,2.71E-04,89.164,0.0101,1.222
2.15E-04,2.75E-04,89.39,0.0101,1.22
1.69E-04,1.98E-04,96.717,0.013,1.33
1.71E-04,2.01E-04,96.989,0.013,1.326
2.15E-04,3.24E-04,85.011,0.0101,0.989
2.17E-04,3.28E-04,85.539,0.0101,0.991
1.73E-04,2.49E-04,91.963,0.013,1.056
1.75E-04,2.52E-04,92.637,0.013,1.056
2.13E-04,2.72E-04,89.142,0.0101,1.223
2.15E-04,2.75E-04,89.372,0.0101,1.22
1.69E-04,1.98E-04,96.694,0.013,1.33
1.71E-04,2.01E-04,96.969,0.013,1.326
2.15E-04,3.25E-04,85.022,0.0101,0.99
2.18E-04,3.28E-04,85.553,0.0101,0.991
1.73E-04,2.50E-04,91.98,0.013,1.056
1.75E-04,2.53E-04,92.658,0.013,1.056
2.13E-04,2.72E-04,89.101,0.0101,1.223
2.16E-04,2.76E-04,89.353,0.0101,1.221
1.70E-04,1.99E-04,96.67,0.013,1.33
1.71E-04,2.01E-04,96.95,0.013,1.325
2.16E-04,3.25E-04,85.032,0.0101,0.991
2.18E-04,3.29E-04,85.566,0.0101,0.992
1.73E-04,2.50E-04,91.998,0.013,1.056
1.75E-04,2.53E-04,92.68,0.013,1.056
2.14E-04,2.73E-04,89.1,0.0101,1.224
2.16E-04,2.76E-04,89.335,0.0101,1.222
1.70E-04,1.99E-04,96.649,0.013,1.33
1.72E-04,2.02E-04,96.931,0.013,1.325
2.16E-04,3.26E-04,85.043,0.0101,0.992
2.19E-04,3.30E-04,85.58,0.0101,0.993
1.74E-04,2.51E-04,92.016,0.013,1.056
1.76E-04,2.54E-04,92.702,0.013,1.056
2.14E-04,2.73E-04,89.079,0.0101,1.225
2.17E-04,2.77E-04,89.318,0.0101,1.222
1.70E-04,1.99E-04,96.627,0.013,1.33
1.72E-04,2.02E-04,96.912,0.013,1.325
2.17E-04,3.27E-04,85.054,0.0101,0.992
2.19E-04,3.30E-04,85.593,0.0101,0.993
1.74E-04,2.51E-04,92.034,0.013,1.057
1.76E-04,2.54E-04,92.72,0.013,1.056
2.15E-04,2.74E-04,89.059,0.0101,1.225
2.17E-04,2.77E-04,89.285,0.0101,1.222
1.71E-04,2.00E-04,96.603,0.013,1.329
1.72E-04,2.02E-04,96.894,0.013,1.325
2.17E-04,3.27E-04,85.064,0.0101,0.993
2.20E-04,3.31E-04,85.608,0.0101,0.994
1.75E-04,2.52E-04,92.053,0.013,1.056
1.76E-04,2.54E-04,92.743,0.013,1.056
2.15E-04,2.74E-04,89.042,0.0101,1.226
2.17E-04,2.78E-04,89.287,0.0101,1.223
1.71E-04,2.00E-04,96.598,0.013,1.329
1.72E-04,2.03E-04,96.876,0.013,1.325
2.18E-04,3.28E-04,85.076,0.0101,0.994
2.20E-04,3.31E-04,85.623,0.0101,0.994
1.75E-04,2.52E-04,92.072,0.013,1.056
1.76E-04,2.55E-04,92.762,0.013,1.055
2.15E-04,2.74E-04,89.027,0.0101,1.225
2.18E-04,2.78E-04,89.259,0.0101,1.222
1.71E-04,2.00E-04,96.562,0.013,1.329
1.73E-04,2.03E-04,96.858,0.013,1.325
2.18E-04,3.28E-04,85.086,0.0101,0.994
2.21E-04,3.32E-04,85.638,0.0101,0.995
1.75E-04,2.53E-04,92.092,0.013,1.056
1.77E-04,2.55E-04,92.794,0.013,1.055
2.16E-04,2.75E-04,88.985,0.0101,1.226
2.18E-04,2.78E-04,89.256,0.0101,1.223
1.71E-04,2.01E-04,96.543,0.013,1.329
1.73E-04,2.03E-04,96.841,0.013,1.324
2.18E-04,3.29E-04,85.099,0.0101,0.995
2.21E-04,3.32E-04,85.653,0.0101,0.995
1.75E-04,2.53E-04,92.112,0.013,1.056
1.77E-04,2.56E-04,92.818,0.013,1.055
2.16E-04,2.75E-04,88.969,0.0101,1.226
2.18E-04,2.79E-04,89.241,0.0101,1.223
1.71E-04,2.01E-04,96.522,0.013,1.329
1.73E-04,2.04E-04,96.824,0.013,1.324
2.19E-04,3.29E-04,85.111,0.0101,0.995
2.21E-04,3.33E-04,85.669,0.0101,0.996
1.76E-04,2.54E-04,92.132,0.013,1.056
1.77E-04,2.56E-04,92.842,0.013,1.055
2.16E-04,2.76E-04,88.971,0.0101,1.227
2.19E-04,2.79E-04,89.227,0.0101,1.223
1.72E-04,2.01E-04,96.502,0.013,1.328
1.73E-04,2.04E-04,96.807,0.013,1.324
2.19E-04,3.30E-04,85.122,0.0101,0.996
2.22E-04,3.33E-04,85.684,0.0101,0.996
1.76E-04,2.54E-04,92.153,0.013,1.056
1.78E-04,2.57E-04,92.866,0.013,1.055
2.17E-04,2.76E-04,88.955,0.0101,1.227
2.19E-04,2.80E-04,89.213,0.0101,1.224
1.72E-04,2.01E-04,96.482,0.013,1.328
1.74E-04,2.04E-04,96.79,0.013,1.323
2.20E-04,3.30E-04,85.135,0.0101,0.996
2.22E-04,3.34E-04,85.7,0.0101,0.996
1.76E-04,2.55E-04,92.173,0.013,1.055
1.78E-04,2.57E-04,92.891,0.013,1.054
2.17E-04,2.76E-04,88.939,0.0101,1.227
2.19E-04,2.80E-04,89.191,0.0101,1.224
1.72E-04,2.02E-04,96.476,0.013,1.327
1.74E-04,2.05E-04,96.774,0.013,1.323
2.20E-04,3.31E-04,85.148,0.0101,0.996
2.22E-04,3.35E-04,85.717,0.0101,0.996
1.77E-04,2.55E-04,92.195,0.013,1.055
1.78E-04,2.58E-04,92.917,0.013,1.054
2.17E-04,2.77E-04,88.929,0.0101,1.226
2.19E-04,2.80E-04,89.189,0.0101,1.223
1.72E-04,2.02E-04,96.444,0.013,1.327
1.74E-04,2.05E-04,96.758,0.013,1.323
2.20E-04,3.32E-04,85.161,0.0101,0.996
2.23E-04,3.35E-04,85.733,0.0101,0.996
1.77E-04,2.55E-04,92.216,0.013,1.055
1.78E-04,2.58E-04,92.942,0.013,1.053
2.18E-04,2.77E-04,88.908,0.0101,1.227
2.20E-04,2.81E-04,89.172,0.0101,1.224
1.73E-04,2.02E-04,96.425,0.013,1.327
1.74E-04,2.05E-04,96.742,0.013,1.322
2.21E-04,3.32E-04,85.173,0.0101,0.996
2.23E-04,3.36E-04,85.75,0.0101,0.996
1.77E-04,2.56E-04,92.238,0.013,1.054
1.79E-04,2.58E-04,92.968,0.013,1.053
2.18E-04,2.77E-04,88.893,0.0101,1.227
2.20E-04,2.81E-04,89.159,0.0101,1.224
1.73E-04,2.03E-04,96.405,0.013,1.327
1.74E-04,2.05E-04,96.727,0.013,1.322
2.21E-04,3.33E-04,85.187,0.0101,0.997
2.24E-04,3.36E-04,85.767,0.0101,0.996
1.77E-04,2.56E-04,92.256,0.013,1.054
1.79E-04,2.59E-04,92.994,0.013,1.053
2.18E-04,2.78E-04,88.878,0.0101,1.227
2.20E-04,2.81E-04,89.147,0.0101,1.223
1.73E-04,2.03E-04,96.387,0.013,1.326
1.75E-04,2.06E-04,96.71,0.013,1.321
2.22E-04,3.33E-04,85.201,0.0101,0.997
2.24E-04,3.37E-04,85.784,0.0101,0.996
1.77E-04,2.57E-04,92.282,0.013,1.054
1.79E-04,2.59E-04,93.021,0.013,1.052
2.18E-04,2.78E-04,88.864,0.0101,1.227
2.21E-04,2.82E-04,89.133,0.0101,1.223
1.73E-04,2.03E-04,96.369,0.013,1.326
1.75E-04,2.06E-04,96.695,0.013,1.321
2.22E-04,3.33E-04,85.214,0.0101,0.997
2.24E-04,3.37E-04,85.802,0.0101,0.996
1.78E-04,2.57E-04,92.305,0.013,1.053
1.79E-04,2.60E-04,93.047,0.013,1.052
2.19E-04,2.78E-04,88.85,0.0101,1.227
2.21E-04,2.82E-04,89.122,0.0101,1.223
1.73E-04,2.04E-04,96.351,0.013,1.325
1.75E-04,2.06E-04,96.679,0.013,1.321
2.22E-04,3.34E-04,85.228,0.0101,0.997
2.24E-04,3.37E-04,85.819,0.0101,0.996
1.78E-04,2.58E-04,92.328,0.013,1.053
1.80E-04,2.60E-04,93.074,0.013,1.051
2.19E-04,2.79E-04,88.836,0.0101,1.227
2.21E-04,2.82E-04,89.11,0.0101,1.223
1.73E-04,2.04E-04,96.332,0.013,1.325
1.75E-04,2.07E-04,96.667,0.013,1.32
2.22E-04,3.34E-04,85.242,0.0101,0.997
2.25E-04,3.38E-04,85.837,0.0101,0.996
1.78E-04,2.58E-04,92.351,0.013,1.052
1.80E-04,2.61E-04,93.102,0.013,1.05
2.19E-04,2.79E-04,88.805,0.0101,1.227
2.21E-04,2.83E-04,89.098,0.0101,1.223
1.74E-04,2.04E-04,96.315,0.013,1.325
1.75E-04,2.07E-04,96.651,0.013,1.32
2.23E-04,3.35E-04,85.256,0.0101,0.997
2.25E-04,3.38E-04,85.856,0.0101,0.996
1.78E-04,2.58E-04,92.374,0.013,1.052
1.80E-04,2.61E-04,93.129,0.013,1.05
2.19E-04,2.79E-04,88.81,0.0101,1.227
2.22E-04,2.83E-04,89.087,0.0101,1.223
1.74E-04,2.04E-04,96.298,0.013,1.324
1.75E-04,2.07E-04,96.637,0.013,1.319
2.23E-04,3.35E-04,85.272,0.0101,0.997
2.25E-04,3.39E-04,85.874,0.0101,0.996
1.79E-04,2.59E-04,92.398,0.013,1.051
1.80E-04,2.61E-04,93.079,0.013,1.048
2.19E-04,2.80E-04,88.803,0.0101,1.225
2.22E-04,2.83E-04,89.076,0.0101,1.223
1.74E-04,2.05E-04,96.281,0.013,1.324
1.76E-04,2.08E-04,96.623,0.013,1.319
2.23E-04,3.36E-04,85.286,0.0101,0.996
2.26E-04,3.39E-04,85.893,0.0101,0.996
1.79E-04,2.59E-04,92.422,0.013,1.051
1.80E-04,2.62E-04,93.185,0.013,1.049
2.20E-04,2.80E-04,88.784,0.0101,1.226
2.22E-04,2.84E-04,89.064,0.0101,1.222
1.74E-04,2.05E-04,96.264,0.013,1.323
1.76E-04,2.08E-04,96.609,0.013,1.318
2.24E-04,3.36E-04,85.301,0.0101,0.996
2.26E-04,3.40E-04,85.911,0.0101,0.995
1.79E-04,2.59E-04,92.446,0.013,1.05
1.81E-04,2.62E-04,93.214,0.013,1.048
2.20E-04,2.80E-04,88.772,0.0101,1.226
2.22E-04,2.84E-04,89.053,0.0101,1.222
1.74E-04,2.05E-04,96.25,0.013,1.322
1.76E-04,2.08E-04,96.596,0.013,1.318
2.24E-04,3.37E-04,85.315,0.0101,0.996
2.26E-04,3.40E-04,85.93,0.0101,0.995
1.79E-04,2.60E-04,92.47,0.013,1.05
1.81E-04,2.63E-04,93.242,0.013,1.048
2.20E-04,2.81E-04,88.76,0.0101,1.226
2.23E-04,2.84E-04,89.043,0.0101,1.222
1.75E-04,2.05E-04,96.231,0.013,1.322
1.76E-04,2.08E-04,96.582,0.013,1.317
2.24E-04,3.37E-04,85.331,0.0101,0.996
2.26E-04,3.41E-04,85.95,0.0101,0.995
1.79E-04,2.60E-04,92.495,0.013,1.049
1.81E-04,2.63E-04,93.271,0.013,1.047
2.21E-04,2.81E-04,88.748,0.0101,1.226
2.23E-04,2.85E-04,89.032,0.0101,1.222
1.74E-04,2.06E-04,96.229,0.013,1.321
1.76E-04,2.09E-04,96.568,0.013,1.317
2.24E-04,3.38E-04,85.347,0.0101,0.996
2.27E-04,3.41E-04,85.969,0.0101,0.995
1.80E-04,2.61E-04,92.516,0.013,1.049
1.81E-04,2.63E-04,93.293,0.013,1.046
2.21E-04,2.81E-04,88.718,0.0101,1.225
2.23E-04,2.85E-04,89.021,0.0101,1.221
1.75E-04,2.06E-04,96.198,0.013,1.321
1.76E-04,2.09E-04,96.555,0.013,1.316
2.25E-04,3.38E-04,85.361,0.0101,0.996
2.27E-04,3.42E-04,85.989,0.0101,0.994
1.80E-04,2.61E-04,92.545,0.013,1.048
1.81E-04,2.64E-04,93.33,0.013,1.046
2.21E-04,2.82E-04,88.731,0.0101,1.224
2.23E-04,2.85E-04,89.011,0.0101,1.221
1.75E-04,2.06E-04,96.183,0.013,1.321
1.77E-04,2.09E-04,96.541,0.013,1.316
2.25E-04,3.38E-04,85.377,0.0101,0.995
2.27E-04,3.42E-04,86.008,0.0101,0.994
1.80E-04,2.61E-04,92.57,0.013,1.047
1.81E-04,2.64E-04,93.36,0.013,1.045
2.21E-04,2.82E-04,88.713,0.0101,1.225
2.23E-04,2.86E-04,89.001,0.0101,1.221
1.75E-04,2.07E-04,96.167,0.013,1.321
1.77E-04,2.09E-04,96.531,0.013,1.314
2.25E-04,3.39E-04,85.392,0.0101,0.995
2.27E-04,3.42E-04,86.028,0.0101,0.994
1.80E-04,2.62E-04,92.592,0.013,1.047
1.82E-04,2.64E-04,93.39,0.013,1.044
2.21E-04,2.82E-04,88.708,0.0101,1.224
2.24E-04,2.86E-04,88.99,0.0101,1.221
1.75E-04,2.07E-04,96.152,0.013,1.32
1.77E-04,2.10E-04,96.531,0.013,1.314
2.25E-04,3.39E-04,85.408,0.0101,0.995
2.28E-04,3.43E-04,86.049,0.0101,0.993
1.80E-04,2.62E-04,92.622,0.013,1.046
1.82E-04,2.65E-04,93.417,0.013,1.044
2.22E-04,2.83E-04,88.691,0.0101,1.225
2.24E-04,2.86E-04,88.98,0.0101,1.22
1.75E-04,2.07E-04,96.136,0.013,1.32
1.77E-04,2.10E-04,96.502,0.013,1.314
2.26E-04,3.40E-04,85.425,0.0101,0.994
2.28E-04,3.43E-04,86.069,0.0101,0.993
1.81E-04,2.62E-04,92.648,0.013,1.046
1.82E-04,2.65E-04,93.443,0.013,1.043
2.22E-04,2.83E-04,88.686,0.0101,1.223
2.24E-04,2.87E-04,88.97,0.0101,1.22
1.76E-04,2.07E-04,96.121,0.013,1.319
1.77E-04,2.10E-04,96.491,0.013,1.314
2.26E-04,3.40E-04,85.441,0.0101,0.994
2.28E-04,3.44E-04,86.09,0.0101,0.993
1.81E-04,2.63E-04,92.674,0.013,1.045
1.82E-04,2.66E-04,93.482,0.013,1.042
2.22E-04,2.83E-04,88.675,0.0101,1.223
2.24E-04,2.87E-04,88.961,0.0101,1.22
1.76E-04,2.08E-04,96.107,0.013,1.319
1.77E-04,2.11E-04,96.479,0.013,1.313
2.26E-04,3.41E-04,85.458,0.0101,0.994
2.28E-04,3.44E-04,86.11,0.0101,0.992
1.81E-04,2.63E-04,92.7,0.013,1.044
1.82E-04,2.66E-04,93.513,0.013,1.042
2.22E-04,2.83E-04,88.659,0.0101,1.224
2.24E-04,2.87E-04,88.951,0.0101,1.219
1.76E-04,2.08E-04,96.092,0.013,1.318
1.78E-04,2.11E-04,96.464,0.013,1.313
2.26E-04,3.41E-04,85.474,0.0101,0.994
2.28E-04,3.45E-04,86.131,0.0101,0.992
1.81E-04,2.64E-04,92.727,0.013,1.044
1.83E-04,2.66E-04,93.543,0.013,1.041
2.22E-04,2.84E-04,88.648,0.0101,1.224
2.24E-04,2.88E-04,88.941,0.0101,1.219
1.76E-04,2.08E-04,96.078,0.013,1.318
1.78E-04,2.11E-04,96.454,0.013,1.312
2.27E-04,3.41E-04,85.491,0.0101,0.993
2.29E-04,3.45E-04,86.152,0.0101,0.991
1.81E-04,2.64E-04,92.754,0.013,1.043
1.83E-04,2.67E-04,93.576,0.013,1.04
2.22E-04,2.84E-04,88.638,0.0101,1.223
2.25E-04,2.88E-04,88.932,0.0101,1.219
1.76E-04,2.08E-04,96.063,0.013,1.317
1.78E-04,2.11E-04,96.439,0.013,1.311
2.27E-04,3.42E-04,85.508,0.0101,0.993
2.29E-04,3.45E-04,86.174,0.0101,0.991
1.81E-04,2.64E-04,92.753,0.013,1.042
1.83E-04,2.67E-04,93.608,0.013,1.04
2.22E-04,2.84E-04,88.634,0.0101,1.222
2.25E-04,2.88E-04,88.922,0.0101,1.218
1.76E-04,2.09E-04,96.049,0.013,1.317
1.78E-04,2.12E-04,96.429,0.013,1.311
2.27E-04,3.42E-04,85.526,0.0101,0.992
2.29E-04,3.46E-04,86.193,0.0101,0.991
1.81E-04,2.65E-04,92.805,0.013,1.042
1.83E-04,2.67E-04,93.64,0.013,1.039
2.23E-04,2.85E-04,88.618,0.0101,1.223
2.25E-04,2.88E-04,88.913,0.0101,1.218
1.76E-04,2.09E-04,96.035,0.013,1.316
1.78E-04,2.12E-04,96.42,0.013,1.31
2.27E-04,3.43E-04,85.543,0.0101,0.992
2.29E-04,3.46E-04,86.219,0.0101,0.99
1.82E-04,2.65E-04,92.833,0.013,1.041
1.83E-04,2.68E-04,93.672,0.013,1.038
2.23E-04,2.85E-04,88.608,0.0101,1.223
2.25E-04,2.89E-04,88.904,0.0101,1.218
1.77E-04,2.09E-04,96.022,0.013,1.316
1.78E-04,2.12E-04,96.407,0.013,1.31
2.27E-04,3.43E-04,85.561,0.0101,0.992
2.29E-04,3.47E-04,86.241,0.0101,0.99
1.82E-04,2.65E-04,92.864,0.013,1.04
1.83E-04,2.68E-04,93.705,0.013,1.037
2.23E-04,2.85E-04,88.599,0.0101,1.222
2.25E-04,2.89E-04,88.895,0.0101,1.217
1.77E-04,2.09E-04,96.008,0.013,1.315
1.78E-04,2.12E-04,96.408,0.013,1.309
2.28E-04,3.43E-04,85.581,0.0101,0.991
2.30E-04,3.47E-04,86.263,0.0101,0.989
1.82E-04,2.66E-04,92.892,0.013,1.04
1.83E-04,2.68E-04,93.738,0.013,1.037
2.23E-04,2.85E-04,88.589,0.0101,1.222
2.26E-04,2.89E-04,88.886,0.0101,1.217
1.77E-04,2.10E-04,95.995,0.013,1.315
1.78E-04,2.13E-04,96.397,0.013,1.309
2.28E-04,3.44E-04,85.597,0.0101,0.991
2.30E-04,3.47E-04,86.254,0.0101,0.988
1.82E-04,2.66E-04,92.917,0.013,1.039
1.84E-04,2.69E-04,93.771,0.013,1.036
2.24E-04,2.86E-04,88.58,0.0101,1.222
2.26E-04,2.90E-04,88.863,0.0101,1.216
1.77E-04,2.10E-04,95.982,0.013,1.314
1.79E-04,2.13E-04,96.373,0.013,1.308
2.28E-04,3.44E-04,85.617,0.0101,0.99
2.30E-04,3.48E-04,86.308,0.0101,0.988
1.82E-04,2.66E-04,92.948,0.013,1.038
1.84E-04,2.69E-04,93.804,0.013,1.035
2.24E-04,2.86E-04,88.571,0.0101,1.221
2.26E-04,2.90E-04,88.868,0.0101,1.216
1.77E-04,2.10E-04,95.969,0.013,1.314
1.79E-04,2.13E-04,96.361,0.013,1.308
2.28E-04,3.45E-04,85.636,0.0101,0.99
2.30E-04,3.48E-04,86.331,0.0101,0.988
1.82E-04,2.67E-04,92.976,0.013,1.038
1.84E-04,2.69E-04,93.838,0.013,1.035
2.24E-04,2.86E-04,88.562,0.0101,1.221
2.26E-04,2.90E-04,88.859,0.0101,1.216
1.77E-04,2.10E-04,95.956,0.013,1.313
1.79E-04,2.13E-04,96.35,0.013,1.307
2.28E-04,3.45E-04,85.654,0.0101,0.99
2.30E-04,3.49E-04,86.353,0.0101,0.987
1.83E-04,2.67E-04,93.006,0.013,1.037
1.84E-04,2.70E-04,93.87,0.013,1.034
2.24E-04,2.87E-04,88.553,0.0101,1.221
2.26E-04,2.90E-04,88.851,0.0101,1.216
1.77E-04,2.11E-04,95.943,0.013,1.313
1.79E-04,2.14E-04,96.352,0.013,1.306
2.29E-04,3.45E-04,85.671,0.0101,0.989
2.31E-04,3.49E-04,86.376,0.0101,0.987
1.83E-04,2.67E-04,93.035,0.013,1.036
1.84E-04,2.70E-04,93.903,0.013,1.033
2.24E-04,2.87E-04,88.544,0.0101,1.22
2.26E-04,2.91E-04,88.842,0.0101,1.215
1.77E-04,2.11E-04,95.931,0.013,1.312
1.79E-04,2.14E-04,96.329,0.013,1.306
2.29E-04,3.46E-04,85.69,0.0101,0.989
2.31E-04,3.49E-04,86.399,0.0101,0.987
1.83E-04,2.68E-04,93.064,0.013,1.036
1.84E-04,2.71E-04,93.937,0.013,1.032
2.24E-04,2.87E-04,88.535,0.0101,1.22
2.26E-04,2.91E-04,88.834,0.0101,1.215
1.78E-04,2.11E-04,95.918,0.013,1.312
1.79E-04,2.14E-04,96.316,0.013,1.305
2.29E-04,3.46E-04,85.709,0.0101,0.988
2.31E-04,3.50E-04,86.423,0.0101,0.986
1.83E-04,2.68E-04,93.094,0.013,1.035
1.84E-04,2.71E-04,93.972,0.013,1.032
2.24E-04,2.87E-04,88.527,0.0101,1.22
2.27E-04,2.91E-04,88.826,0.0101,1.215
1.78E-04,2.11E-04,95.906,0.013,1.311
1.79E-04,2.14E-04,96.305,0.013,1.305
2.29E-04,3.46E-04,85.728,0.0101,0.988
2.31E-04,3.50E-04,86.446,0.0101,0.986
1.83E-04,2.68E-04,93.123,0.013,1.034
